Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_AR_[-]
223.07,42.97373124476679,8.967686042617872,9.904665943865135,0.9071117733800753,0.22233018366631468,1126.8917404311123,113.20819985668456,2.399379877320793
223.07,43.426350587736515,8.907036073887854,9.942737674046107,0.9059054327746218,0.22097670156356905,1126.600592835303,114.56253616181338,2.3901474676090464
223.07,43.87853734991707,8.846669719100252,9.980573972416892,0.9046990921691682,0.21965864581931277,1126.308658546955,115.92024628297084,2.3809831210636805
223.07,44.33029187158868,8.786585934784597,10.019301737630158,0.9034927515637146,0.21837493553852177,1126.0159352004935,117.28135151716873,2.3718862626585713
223.07,44.78161450384647,8.726783339498136,10.057771319680441,0.902286410958261,0.2171245357478573,1125.7224204251104,118.64587334345912,2.362856324354521
223.07,45.23250560847037,8.667260677374339,10.095994371394502,0.9010800703528075,0.2159064550135236,1125.42811184475,120.01383342226336,2.353892736955138
223.07,45.68296555788718,8.608016709792807,10.135000362712448,0.8998737297473539,0.21471974320619353,1125.1330070781137,121.38525359470891,2.3449949328332296
223.07,46.132994735092076,8.549050199098186,10.173874550620944,0.8986673891419004,0.2135634894024963,1124.8371037386578,122.76015588189632,2.3361623456478418
223.07,46.582593533562495,8.49035982067275,10.212506937612865,0.8974610485364467,0.21243681991342775,1124.540399434583,124.13856248412579,2.3273944030035785
223.07,47.0317623571904,8.431944566139476,10.25180457932776,0.8962547079309932,0.21133889643081993,1124.242891768843,125.52049578008162,2.3186905580763755
223.07,47.48050162024289,8.373803139256328,10.29108972753604,0.8950483673255396,0.2102689142837266,1123.9445783391466,126.9059783259696,2.3100502433374435
223.07,47.92881174726725,8.315934352290634,10.33013764511,0.8938420267200861,0.20922610079719425,1123.6454567379515,128.2950328545766,2.301472901031141
223.07,48.37669317306414,8.25833706602038,10.369747998925249,0.8926356861146325,0.20820971374643796,1123.3455245524813,129.68768227429027,2.292957871974055
223.07,48.82414634260759,8.201010046790088,10.409555420278714,0.891429345509179,0.20721903990006452,1123.0447793647181,131.0839496680305,2.2845049264681387
223.07,49.27117171098761,8.143952170773453,10.449265497756436,0.8902230049037254,0.20625339364639664,1122.7432187514114,132.483858292133,2.2761132963808675
223.07,49.71776974334694,8.087162294109747,10.489463049576628,0.8890166642982718,0.2053121156974022,1122.4408402840827,133.88743157513434,2.2677824348340803
223.07,50.16394091486074,8.030639284343753,10.52982856944798,0.8878103236928182,0.2043945718652075,1122.137641529042,135.29469311651053,2.2595117982848163
223.07,50.60968571063727,7.97438198367402,10.569950632573772,0.8866039830873647,0.20350015190645257,1121.833620047382,136.7056666853007,2.2512998018890786
223.07,51.05500462569609,7.918389347676861,10.610552007928362,0.8853976424819111,0.20262826843014178,1121.528773394991,138.12037621864278,2.2431477146975607
223.07,51.499898164874615,7.862660238700831,10.651337156877489,0.8841913018764576,0.2017783558650158,1121.223099122563,139.53884582025728,2.2350542264773585
